"Titre de tracé : 10831976"
"#","Date Heure, GMT+02:00","Temp., °C (LGR S/N: 10831976, SEN S/N: 10831976, LBL: Temp 1)","Temp., °C (LGR S/N: 10831976, SEN S/N: 10831976, LBL: Temp 2)","Temp., °C (LGR S/N: 10831976, SEN S/N: 10831976, LBL: Temp 3)","Temp., °C (LGR S/N: 10831976, SEN S/N: 10831976, LBL: Temp 4)","Hôte connecté (LGR S/N: 10831976)","Bouton Bas (LGR S/N: 10831976)","Bouton Haut (LGR S/N: 10831976)","Arrêté (LGR S/N: 10831976)","Fin de fichier (LGR S/N: 10831976)"
1,04/09/19 12:00:00 PM,17.761,19.133,18.683,17.755,,,,,
2,04/09/19 12:15:00 PM,19.222,20.027,19.569,18.941,,,,,
3,04/09/19 12:30:00 PM,18.659,23.552,20.256,19.197,,,,,
4,04/09/19 12:45:00 PM,17.491,21.963,19.560,18.536,,,,,
5,04/09/19 01:00:00 PM,16.969,19.969,18.078,18.689,,,,,
6,04/09/19 01:15:00 PM,23.333,29.093,21.322,26.640,,,,,
7,04/09/19 01:30:00 PM,33.592,31.263,35.425,31.065,,,,,
8,04/09/19 01:45:00 PM,33.282,31.448,35.632,33.396,,,,,
9,04/09/19 02:00:00 PM,20.168,20.287,22.136,22.678,,,,,
10,04/09/19 02:15:00 PM,18.247,18.212,19.765,19.546,,,,,
11,04/09/19 02:30:00 PM,23.100,23.231,26.376,23.919,,,,,
12,04/09/19 02:45:00 PM,19.936,22.181,22.060,23.112,,,,,
13,04/09/19 03:00:00 PM,20.592,19.838,19.228,20.199,,,,,
14,04/09/19 03:15:00 PM,20.942,19.978,20.055,21.727,,,,,
15,04/09/19 03:30:00 PM,19.034,17.995,18.271,20.445,,,,,
16,04/09/19 03:45:00 PM,11.090,11.513,12.133,17.408,,,,,
17,04/09/19 04:00:00 PM,10.887,11.263,11.860,17.308,,,,,
18,04/09/19 04:15:00 PM,10.831,11.186,11.793,17.338,,,,,
19,04/09/19 04:30:00 PM,10.803,11.148,11.775,17.394,,,,,
20,04/09/19 04:45:00 PM,10.788,11.126,11.774,16.851,,,,,
21,04/09/19 05:00:00 PM,10.779,11.111,11.783,17.060,,,,,
22,04/09/19 05:15:00 PM,10.771,11.104,11.798,16.705,,,,,
23,04/09/19 05:30:00 PM,10.767,11.097,11.816,16.396,,,,,
24,04/09/19 05:45:00 PM,10.764,11.094,11.836,15.749,,,,,
25,04/09/19 06:00:00 PM,10.760,11.093,11.856,15.391,,,,,
26,04/09/19 06:15:00 PM,10.759,11.091,11.878,15.361,,,,,
27,04/09/19 06:30:00 PM,10.757,11.093,11.900,15.357,,,,,
28,04/09/19 06:45:00 PM,10.757,11.094,11.921,15.116,,,,,
29,04/09/19 07:00:00 PM,10.757,11.097,11.943,14.919,,,,,
30,04/09/19 07:15:00 PM,10.757,11.100,11.963,14.629,,,,,
31,04/09/19 07:30:00 PM,10.757,11.104,11.983,14.292,,,,,
32,04/09/19 07:45:00 PM,10.757,11.108,12.003,13.997,,,,,
33,04/09/19 08:00:00 PM,10.757,11.114,12.021,13.661,,,,,
