"Titre de tracé : S2"
"#","Date Heure, GMT+02:00","Temp., °C (LGR S/N: 10848910, SEN S/N: 10848910, LBL: Temperature 1)","Temp., °C (LGR S/N: 10848910, SEN S/N: 10848910, LBL: Temperature 2)","Temp., °C (LGR S/N: 10848910, SEN S/N: 10848910, LBL: Temperature 3)","Temp., °C (LGR S/N: 10848910, SEN S/N: 10848910, LBL: Temperature 4)","Hôte connecté (LGR S/N: 10848910)","Arrêté (LGR S/N: 10848910)","Fin de fichier (LGR S/N: 10848910)"
1,04/09/19 12:00:00 PM,21.942,19.964,19.352,18.735,,,
2,04/09/19 12:15:00 PM,20.927,20.932,20.892,19.759,,,
3,04/09/19 12:30:00 PM,20.036,18.340,20.965,16.360,,,
4,04/09/19 12:45:00 PM,18.145,17.174,19.124,15.493,,,
5,04/09/19 01:00:00 PM,16.918,17.031,17.535,16.655,,,
6,04/09/19 01:15:00 PM,18.750,20.653,20.844,23.073,,,
7,04/09/19 01:30:00 PM,22.976,29.050,36.836,28.933,,,
8,04/09/19 01:45:00 PM,12.746,13.625,21.664,20.831,,,
9,04/09/19 02:00:00 PM,9.514,10.096,10.936,13.694,,,
10,04/09/19 02:15:00 PM,9.423,9.875,10.507,13.026,,,
11,04/09/19 02:30:00 PM,9.393,9.795,10.361,12.966,,,
12,04/09/19 02:45:00 PM,9.379,9.754,10.291,13.257,,,
13,04/09/19 03:00:00 PM,9.370,9.728,10.251,13.154,,,
14,04/09/19 03:15:00 PM,9.366,9.711,10.230,13.454,,,
15,04/09/19 03:30:00 PM,9.364,9.698,10.217,13.311,,,
16,04/09/19 03:45:00 PM,9.362,9.689,10.211,13.646,,,
17,04/09/19 04:00:00 PM,9.361,9.683,10.211,13.813,,,
18,04/09/19 04:15:00 PM,9.361,9.678,10.214,13.823,,,
19,04/09/19 04:30:00 PM,9.361,9.675,10.222,13.837,,,
20,04/09/19 04:45:00 PM,9.361,9.672,10.230,13.649,,,
21,04/09/19 05:00:00 PM,9.361,9.671,10.240,13.703,,,
22,04/09/19 05:15:00 PM,9.362,9.669,10.253,13.596,,,
23,04/09/19 05:30:00 PM,9.362,9.669,10.266,13.544,,,
24,04/09/19 05:45:00 PM,9.364,9.669,10.282,13.338,,,
25,04/09/19 06:00:00 PM,9.366,9.671,10.297,13.212,,,
26,04/09/19 06:15:00 PM,9.367,9.671,10.314,13.191,,,
27,04/09/19 06:30:00 PM,9.367,9.672,10.331,13.192,,,
28,04/09/19 06:45:00 PM,9.369,9.675,10.349,13.102,,,
29,04/09/19 07:00:00 PM,9.370,9.677,10.366,13.011,,,
30,04/09/19 07:15:00 PM,9.372,9.680,10.384,12.900,,,
31,04/09/19 07:30:00 PM,9.373,9.683,10.401,12.761,,,
32,04/09/19 07:45:00 PM,9.375,9.686,10.418,12.616,,,
33,04/09/19 08:00:00 PM,9.376,9.691,10.435,12.449,,,
34,04/09/19 08:15:00 PM,9.378,9.695,10.452,12.284,,,
35,04/09/19 08:30:00 PM,9.379,9.698,10.467,12.096,,,
36,04/09/19 08:45:00 PM,9.381,9.705,10.482,11.913,,,
37,04/09/19 09:00:00 PM,9.382,9.709,10.496,11.757,,,
38,04/09/19 09:15:00 PM,9.386,9.714,10.510,11.598,,,
39,04/09/19 09:30:00 PM,9.387,9.720,10.522,11.417,,,
40,04/09/19 09:45:00 PM,9.389,9.725,10.533,11.245,,,
41,04/09/19 10:00:00 PM,9.392,9.731,10.542,11.076,,,
42,04/09/19 10:15:00 PM,9.393,9.737,10.551,10.915,,,
43,04/09/19 10:30:00 PM,9.395,9.743,10.559,10.753,,,
44,04/09/19 10:45:00 PM,9.398,9.749,10.563,10.611,,,
