"Titre de tracé : 10831980"
"#","Date Heure, GMT+02:00","Temp., °C (LGR S/N: 10831980, SEN S/N: 10831980, LBL: Temperature 1)","Temp., °C (LGR S/N: 10831980, SEN S/N: 10831980, LBL: Temperature 2)","Temp., °C (LGR S/N: 10831980, SEN S/N: 10831980, LBL: Temperature 3)","Temp., °C (LGR S/N: 10831980, SEN S/N: 10831980, LBL: Temperature 4)","Hôte connecté (LGR S/N: 10831980)","Arrêté (LGR S/N: 10831980)","Fin de fichier (LGR S/N: 10831980)"
1,04/09/19 12:00:00 PM,15.985,16.301,17.269,17.854,,,
2,04/09/19 12:15:00 PM,16.496,17.262,18.408,18.912,,,
3,04/09/19 12:30:00 PM,16.412,15.154,15.822,17.696,,,
4,04/09/19 12:45:00 PM,15.563,14.319,14.725,16.384,,,
5,04/09/19 01:00:00 PM,15.170,14.153,14.492,15.909,,,
6,04/09/19 01:15:00 PM,16.707,16.332,17.495,22.775,,,
7,04/09/19 01:30:00 PM,20.503,25.337,30.359,24.360,,,
8,04/09/19 01:45:00 PM,23.802,28.751,33.233,27.590,,,
9,04/09/19 02:00:00 PM,19.587,17.367,19.523,20.616,,,
10,04/09/19 02:15:00 PM,14.895,13.440,15.628,19.514,,,
11,04/09/19 02:30:00 PM,9.998,10.271,10.875,15.320,,,
12,04/09/19 02:45:00 PM,9.829,10.101,10.672,16.522,,,
13,04/09/19 03:00:00 PM,9.775,10.044,10.620,16.049,,,
14,04/09/19 03:15:00 PM,9.749,10.015,10.608,16.999,,,
15,04/09/19 03:30:00 PM,9.734,9.998,10.611,16.298,,,
16,04/09/19 03:45:00 PM,9.725,9.986,10.623,17.574,,,
17,04/09/19 04:00:00 PM,9.718,9.978,10.641,18.085,,,
18,04/09/19 04:15:00 PM,9.714,9.974,10.664,17.122,,,
19,04/09/19 04:30:00 PM,9.711,9.970,10.690,16.702,,,
20,04/09/19 04:45:00 PM,9.708,9.967,10.718,15.979,,,
21,04/09/19 05:00:00 PM,9.706,9.967,10.747,16.512,,,
22,04/09/19 05:15:00 PM,9.705,9.967,10.779,15.578,,,
23,04/09/19 05:30:00 PM,9.705,9.969,10.811,15.445,,,
24,04/09/19 05:45:00 PM,9.705,9.970,10.843,14.622,,,
25,04/09/19 06:00:00 PM,9.705,9.972,10.876,14.381,,,
26,04/09/19 06:15:00 PM,9.705,9.975,10.908,14.616,,,
27,04/09/19 06:30:00 PM,9.705,9.980,10.940,14.698,,,
28,04/09/19 06:45:00 PM,9.706,9.984,10.972,14.208,,,
29,04/09/19 07:00:00 PM,9.708,9.989,11.001,13.943,,,
30,04/09/19 07:15:00 PM,9.708,9.993,11.029,13.416,,,
31,04/09/19 07:30:00 PM,9.709,10.000,11.055,12.981,,,
32,04/09/19 07:45:00 PM,9.711,10.006,11.078,12.603,,,
33,04/09/19 08:00:00 PM,9.712,10.012,11.099,12.087,,,
34,04/09/19 08:15:00 PM,9.714,10.020,11.119,11.690,,,
35,04/09/19 08:30:00 PM,9.715,10.027,11.136,11.186,,,
36,04/09/19 08:45:00 PM,9.718,10.035,11.149,10.861,,,
37,04/09/19 09:00:00 PM,9.720,10.043,11.161,10.678,,,
38,04/09/19 09:15:00 PM,9.721,10.052,11.171,10.387,,,
39,04/09/19 09:30:00 PM,9.725,10.059,11.177,9.972,,,
40,04/09/19 09:45:00 PM,9.726,10.069,11.178,9.685,,,
41,04/09/19 10:00:00 PM,9.729,10.078,11.178,9.458,,,
42,04/09/19 10:15:00 PM,9.732,10.087,11.175,9.242,,,
43,04/09/19 10:30:00 PM,9.735,10.096,11.169,9.004,,,
44,04/09/19 10:45:00 PM,9.738,10.106,11.161,8.934,,,
45,04/09/19 11:00:00 PM,9.741,10.115,11.151,8.880,,,
46,04/09/19 11:15:00 PM,9.745,10.124,11.137,8.736,,,
