"Titre de tracé : S1"
"#","Date Heure, GMT+02:00","Temp., °C (LGR S/N: 10848906, SEN S/N: 10848906, LBL: Temp 1)","Temp., °C (LGR S/N: 10848906, SEN S/N: 10848906, LBL: Temp 2)","Temp., °C (LGR S/N: 10848906, SEN S/N: 10848906, LBL: Temp 3)","Temp., °C (LGR S/N: 10848906, SEN S/N: 10848906, LBL: Temp 4)","Hôte connecté (LGR S/N: 10848906)","Arrêté (LGR S/N: 10848906)","Fin de fichier (LGR S/N: 10848906)"
1,04/09/19 12:00:00 PM,16.634,16.289,16.229,15.991,,,
2,04/09/19 12:15:00 PM,17.464,17.104,16.691,16.466,,,
3,04/09/19 12:30:00 PM,16.966,15.597,16.146,16.137,,,
4,04/09/19 12:45:00 PM,15.837,14.641,15.230,15.795,,,
5,04/09/19 01:00:00 PM,15.242,14.397,14.904,15.575,,,
6,04/09/19 01:15:00 PM,18.115,16.293,15.894,17.045,,,
7,04/09/19 01:30:00 PM,24.024,24.164,24.484,25.563,,,
8,04/09/19 01:45:00 PM,10.789,11.338,12.343,18.705,,,
9,04/09/19 02:00:00 PM,10.556,11.024,11.795,17.598,,,
10,04/09/19 02:15:00 PM,10.490,10.918,11.633,16.961,,,
11,04/09/19 02:30:00 PM,10.458,10.863,11.563,16.878,,,
12,04/09/19 02:45:00 PM,10.439,10.828,11.532,17.491,,,
13,04/09/19 03:00:00 PM,10.427,10.805,11.523,17.158,,,
14,04/09/19 03:15:00 PM,10.418,10.789,11.526,17.622,,,
15,04/09/19 03:30:00 PM,10.412,10.777,11.538,17.165,,,
16,04/09/19 03:45:00 PM,10.407,10.768,11.558,17.315,,,
17,04/09/19 04:00:00 PM,10.404,10.762,11.579,17.452,,,
18,04/09/19 04:15:00 PM,10.403,10.757,11.602,17.446,,,
19,04/09/19 04:30:00 PM,10.400,10.754,11.628,17.418,,,
20,04/09/19 04:45:00 PM,10.398,10.753,11.655,17.030,,,
21,04/09/19 05:00:00 PM,10.398,10.753,11.683,17.073,,,
22,04/09/19 05:15:00 PM,10.397,10.753,11.712,16.871,,,
23,04/09/19 05:30:00 PM,10.397,10.754,11.742,16.720,,,
24,04/09/19 05:45:00 PM,10.397,10.756,11.771,16.231,,,
25,04/09/19 06:00:00 PM,10.397,10.759,11.801,15.930,,,
26,04/09/19 06:15:00 PM,10.397,10.764,11.830,15.809,,,
27,04/09/19 06:30:00 PM,10.397,10.768,11.859,15.769,,,
28,04/09/19 06:45:00 PM,10.398,10.773,11.886,15.611,,,
29,04/09/19 07:00:00 PM,10.398,10.779,11.913,15.436,,,
30,04/09/19 07:15:00 PM,10.400,10.785,11.937,15.267,,,
31,04/09/19 07:30:00 PM,10.401,10.791,11.960,14.984,,,
32,04/09/19 07:45:00 PM,10.401,10.799,11.983,14.720,,,
33,04/09/19 08:00:00 PM,10.403,10.806,12.003,14.393,,,
34,04/09/19 08:15:00 PM,10.404,10.814,12.021,14.068,,,
35,04/09/19 08:30:00 PM,10.406,10.823,12.039,13.715,,,
36,04/09/19 08:45:00 PM,10.409,10.832,12.053,13.380,,,
37,04/09/19 09:00:00 PM,10.410,10.840,12.063,13.088,,,
38,04/09/19 09:15:00 PM,10.412,10.849,12.074,12.814,,,
39,04/09/19 09:30:00 PM,10.415,10.860,12.081,12.511,,,
40,04/09/19 09:45:00 PM,10.417,10.869,12.087,12.217,,,
41,04/09/19 10:00:00 PM,10.420,10.878,12.090,11.939,,,
42,04/09/19 10:15:00 PM,10.423,10.887,12.090,11.686,,,
43,04/09/19 10:30:00 PM,10.426,10.898,12.087,11.437,,,
44,04/09/19 10:45:00 PM,10.429,10.907,12.083,11.206,,,
45,04/09/19 11:00:00 PM,10.432,10.916,12.077,11.003,,,
46,04/09/19 11:15:00 PM,10.435,10.927,12.068,10.789,,,
47,04/09/19 11:30:00 PM,10.438,10.936,12.056,10.577,,,
48,04/09/19 11:45:00 PM,10.443,10.945,12.042,10.383,,,
49,04/10/19 12:00:00 AM,10.446,10.954,12.027,10.205,,,
50,04/10/19 12:15:00 AM,10.449,10.962,12.009,9.975,,,
51,04/10/19 12:30:00 AM,10.453,10.971,11.989,9.823,,,
52,04/10/19 12:45:00 AM,10.458,10.979,11.968,9.663,,,
53,04/10/19 01:00:00 AM,10.461,10.986,11.947,9.551,,,
54,04/10/19 01:15:00 AM,10.466,10.994,11.922,9.384,,,
55,04/10/19 01:30:00 AM,10.470,11.000,11.897,9.231,,,
56,04/10/19 01:45:00 AM,10.473,11.006,11.871,9.074,,,
57,04/10/19 02:00:00 AM,10.478,11.012,11.843,8.926,,,
58,04/10/19 02:15:00 AM,10.482,11.018,11.815,8.781,,,
59,04/10/19 02:30:00 AM,10.487,11.023,11.786,8.649,,,
60,04/10/19 02:45:00 AM,10.492,11.027,11.756,8.523,,,
61,04/10/19 03:00:00 AM,10.495,11.030,11.725,8.403,,,
62,04/10/19 03:15:00 AM,10.499,11.033,11.695,8.383,,,
63,04/10/19 03:30:00 AM,10.504,11.037,11.663,8.442,,,
64,04/10/19 03:45:00 AM,10.508,11.040,11.630,8.574,,,
65,04/10/19 04:00:00 AM,10.513,11.041,11.598,8.716,,,
