"Titre de tracé : 10848914"
"#","Date Heure, GMT+02:00","Temp., °C (LGR S/N: 10848914, SEN S/N: 10848914, LBL: Temperature 1)","Temp., °C (LGR S/N: 10848914, SEN S/N: 10848914, LBL: Temperature 2)","Temp., °C (LGR S/N: 10848914, SEN S/N: 10848914, LBL: Temperature 3)","Temp., °C (LGR S/N: 10848914, SEN S/N: 10848914, LBL: Temperature 4)","Hôte connecté (LGR S/N: 10848914)","Arrêté (LGR S/N: 10848914)","Fin de fichier (LGR S/N: 10848914)"
1,04/09/19 12:00:00 PM,17.076,16.981,16.836,16.169,,,
2,04/09/19 12:15:00 PM,18.301,17.922,17.184,16.598,,,
3,04/09/19 12:30:00 PM,17.300,16.539,16.274,16.231,,,
4,04/09/19 12:45:00 PM,16.138,15.440,15.479,15.693,,,
5,04/09/19 01:00:00 PM,15.631,15.048,15.218,15.609,,,
6,04/09/19 01:15:00 PM,21.697,17.461,16.351,16.752,,,
7,04/09/19 01:30:00 PM,23.379,27.674,25.648,24.505,,,
8,04/09/19 01:45:00 PM,25.436,30.571,29.526,26.881,,,
9,04/09/19 02:00:00 PM,18.989,19.981,19.010,20.048,,,
10,04/09/19 02:15:00 PM,17.271,16.924,17.003,17.289,,,
11,04/09/19 02:30:00 PM,22.470,19.540,19.917,18.197,,,
12,04/09/19 02:45:00 PM,22.934,21.345,21.045,21.378,,,
13,04/09/19 03:00:00 PM,20.400,19.035,18.629,19.655,,,
14,04/09/19 03:15:00 PM,20.548,20.272,20.131,20.564,,,
15,04/09/19 03:30:00 PM,18.628,17.372,17.833,18.689,,,
16,04/09/19 03:45:00 PM,18.509,18.766,24.223,24.963,,,
17,04/09/19 04:00:00 PM,24.255,25.484,28.017,28.461,,,
18,04/09/19 04:15:00 PM,24.023,26.010,26.090,28.369,,,
19,04/09/19 04:30:00 PM,25.844,27.175,27.921,28.388,,,
20,04/09/19 04:45:00 PM,24.724,25.892,25.954,25.972,,,
21,04/09/19 05:00:00 PM,29.216,30.548,29.465,30.661,,,
22,04/09/19 05:15:00 PM,26.651,27.950,27.405,26.900,,,
23,04/09/19 05:30:00 PM,26.160,26.769,26.957,26.102,,,
24,04/09/19 05:45:00 PM,20.586,21.473,21.906,20.634,,,
25,04/09/19 06:00:00 PM,18.516,19.313,19.524,18.849,,,
26,04/09/19 06:15:00 PM,19.091,19.655,19.701,19.821,,,
27,04/09/19 06:30:00 PM,19.639,20.161,20.170,20.161,,,
28,04/09/19 06:45:00 PM,18.931,19.411,19.526,19.080,,,
29,04/09/19 07:00:00 PM,18.886,19.561,19.209,18.900,,,
30,04/09/19 07:15:00 PM,18.672,19.194,19.259,18.386,,,
31,04/09/19 07:30:00 PM,16.481,17.143,17.492,16.732,,,
32,04/09/19 07:45:00 PM,14.716,15.302,15.608,14.803,,,
33,04/09/19 08:00:00 PM,13.133,13.634,13.865,13.067,,,
34,04/09/19 08:15:00 PM,11.840,12.261,12.470,11.883,,,
35,04/09/19 08:30:00 PM,10.337,10.776,11.014,10.530,,,
36,04/09/19 08:45:00 PM,9.121,9.523,9.769,9.438,,,
37,04/09/19 09:00:00 PM,8.397,8.705,8.883,8.674,,,
38,04/09/19 09:15:00 PM,8.021,8.237,8.381,8.249,,,
39,04/09/19 09:30:00 PM,7.467,7.658,7.798,7.599,,,
40,04/09/19 09:45:00 PM,6.781,6.995,7.174,6.979,,,
41,04/09/19 10:00:00 PM,6.307,6.526,6.707,6.788,,,
42,04/09/19 10:15:00 PM,6.118,6.328,6.539,6.633,,,
43,04/09/19 10:30:00 PM,5.781,6.037,6.252,6.333,,,
44,04/09/19 10:45:00 PM,5.560,5.810,6.051,6.207,,,
45,04/09/19 11:00:00 PM,5.661,5.866,6.054,6.256,,,
46,04/09/19 11:15:00 PM,5.616,5.826,6.041,6.280,,,
47,04/09/19 11:30:00 PM,5.427,5.680,5.858,5.966,,,
48,04/09/19 11:45:00 PM,5.008,5.280,5.436,5.486,,,
49,04/10/19 12:00:00 AM,4.681,4.964,5.153,5.218,,,
50,04/10/19 12:15:00 AM,4.704,5.010,5.150,5.232,,,
51,04/10/19 12:30:00 AM,4.382,4.680,4.804,4.871,,,
52,04/10/19 12:45:00 AM,4.017,4.360,4.550,4.587,,,
53,04/10/19 01:00:00 AM,3.981,4.294,4.441,4.508,,,
54,04/10/19 01:15:00 AM,3.546,3.845,3.968,3.827,,,
55,04/10/19 01:30:00 AM,3.145,3.436,3.618,3.604,,,
56,04/10/19 01:45:00 AM,2.873,3.137,3.340,3.419,,,
57,04/10/19 02:00:00 AM,2.577,2.870,3.027,3.135,,,
58,04/10/19 02:15:00 AM,2.329,2.620,2.850,2.963,,,
59,04/10/19 02:30:00 AM,2.269,2.528,2.752,2.949,,,
60,04/10/19 02:45:00 AM,2.074,2.358,2.588,2.708,,,
61,04/10/19 03:00:00 AM,1.815,2.091,2.309,2.384,,,
62,04/10/19 03:15:00 AM,2.523,2.737,2.934,3.408,,,
63,04/10/19 03:30:00 AM,3.521,3.686,3.824,4.314,,,
64,04/10/19 03:45:00 AM,5.053,5.124,5.251,5.893,,,
65,04/10/19 04:00:00 AM,6.162,6.161,6.186,6.409,,,
66,04/10/19 04:15:00 AM,6.401,6.380,6.353,6.341,,,
67,04/10/19 04:30:00 AM,6.315,6.315,6.275,6.212,,,
68,04/10/19 04:45:00 AM,6.441,6.423,6.379,6.376,,,
69,04/10/19 05:00:00 AM,6.569,6.550,6.501,6.471,,,
70,04/10/19 05:15:00 AM,6.612,6.604,6.558,6.528,,,
71,04/10/19 05:30:00 AM,6.658,6.650,6.607,6.564,,,
72,04/10/19 05:45:00 AM,6.677,6.669,6.628,6.577,,,
73,04/10/19 06:00:00 AM,6.729,6.717,6.671,6.626,,,
74,04/10/19 06:15:00 AM,6.813,6.799,6.755,6.729,,,
75,04/10/19 06:30:00 AM,6.827,6.818,6.772,6.713,,,
76,04/10/19 06:45:00 AM,6.862,6.854,6.808,6.767,,,
77,04/10/19 07:00:00 AM,6.905,6.897,6.854,6.807,,,
78,04/10/19 07:15:00 AM,6.902,6.906,6.868,6.796,,,
79,04/10/19 07:30:00 AM,7.042,7.047,7.006,6.980,,,
80,04/10/19 07:45:00 AM,7.492,7.484,7.431,7.456,,,
