"Titre de tracé : 10831975"
"#","Date Heure, GMT+02:00","Temp., °C (LGR S/N: 10831975, SEN S/N: 10831975, LBL: Temp 1)","Temp., °C (LGR S/N: 10831975, SEN S/N: 10831975, LBL: Temp 2)","Temp., °C (LGR S/N: 10831975, SEN S/N: 10831975, LBL: Temp 3)","Temp., °C (LGR S/N: 10831975, SEN S/N: 10831975, LBL: Temp 4)","Hôte connecté (LGR S/N: 10831975)","Arrêté (LGR S/N: 10831975)","Fin de fichier (LGR S/N: 10831975)"
1,04/09/19 12:00:00 PM,20.065,19.090,16.574,16.010,,,
2,04/09/19 12:15:00 PM,20.332,20.632,17.635,16.691,,,
3,04/09/19 12:30:00 PM,19.407,17.173,15.396,15.633,,,
4,04/09/19 12:45:00 PM,17.856,16.156,14.426,14.789,,,
5,04/09/19 01:00:00 PM,17.428,16.019,14.216,14.521,,,
6,04/09/19 01:15:00 PM,26.588,19.451,17.547,16.379,,,
7,04/09/19 01:30:00 PM,25.547,22.681,23.162,24.336,,,
8,04/09/19 01:45:00 PM,25.145,23.790,23.587,25.243,,,
9,04/09/19 02:00:00 PM,17.854,19.292,18.698,18.704,,,
10,04/09/19 02:15:00 PM,16.156,17.721,16.964,16.871,,,
11,04/09/19 02:30:00 PM,20.457,20.059,19.201,18.516,,,
12,04/09/19 02:45:00 PM,22.802,22.317,21.182,21.775,,,
13,04/09/19 03:00:00 PM,24.344,24.192,20.088,19.086,,,
14,04/09/19 03:15:00 PM,10.983,12.669,11.813,17.812,,,
15,04/09/19 03:30:00 PM,10.641,12.254,11.321,16.634,,,
16,04/09/19 03:45:00 PM,10.537,12.139,11.203,17.129,,,
17,04/09/19 04:00:00 PM,10.488,12.086,11.161,17.598,,,
18,04/09/19 04:15:00 PM,10.458,12.054,11.148,17.672,,,
19,04/09/19 04:30:00 PM,10.439,12.034,11.149,17.541,,,
20,04/09/19 04:45:00 PM,10.426,12.021,11.158,16.694,,,
21,04/09/19 05:00:00 PM,10.417,12.012,11.172,16.247,,,
22,04/09/19 05:15:00 PM,10.409,12.007,11.190,15.819,,,
23,04/09/19 05:30:00 PM,10.404,12.004,11.212,15.521,,,
24,04/09/19 05:45:00 PM,10.401,12.003,11.234,15.212,,,
25,04/09/19 06:00:00 PM,10.400,12.003,11.259,15.043,,,
26,04/09/19 06:15:00 PM,10.398,12.004,11.286,15.088,,,
27,04/09/19 06:30:00 PM,10.398,12.007,11.309,15.142,,,
28,04/09/19 06:45:00 PM,10.400,12.012,11.332,14.916,,,
29,04/09/19 07:00:00 PM,10.400,12.015,11.355,14.694,,,
30,04/09/19 07:15:00 PM,10.403,12.021,11.376,14.397,,,
31,04/09/19 07:30:00 PM,10.404,12.025,11.396,14.056,,,
32,04/09/19 07:45:00 PM,10.407,12.033,11.415,13.757,,,
33,04/09/19 08:00:00 PM,10.410,12.039,11.434,13.413,,,
34,04/09/19 08:15:00 PM,10.413,12.046,11.452,13.096,,,
35,04/09/19 08:30:00 PM,10.418,12.054,11.469,12.740,,,
36,04/09/19 08:45:00 PM,10.423,12.062,11.482,12.412,,,
37,04/09/19 09:00:00 PM,10.427,12.069,11.496,12.178,,,
38,04/09/19 09:15:00 PM,10.432,12.078,11.508,11.954,,,
39,04/09/19 09:30:00 PM,10.438,12.086,11.519,11.645,,,
40,04/09/19 09:45:00 PM,10.443,12.095,11.528,11.358,,,
41,04/09/19 10:00:00 PM,10.449,12.104,11.535,11.111,,,
42,04/09/19 10:15:00 PM,10.455,12.112,11.542,10.896,,,
43,04/09/19 10:30:00 PM,10.461,12.121,11.545,10.696,,,
44,04/09/19 10:45:00 PM,10.467,12.130,11.548,10.553,,,
45,04/09/19 11:00:00 PM,10.473,12.139,11.548,10.511,,,
46,04/09/19 11:15:00 PM,10.479,12.148,11.546,10.380,,,
47,04/09/19 11:30:00 PM,10.485,12.155,11.543,10.214,,,
48,04/09/19 11:45:00 PM,10.492,12.165,11.537,9.997,,,
49,04/10/19 12:00:00 AM,10.499,12.172,11.531,9.783,,,
50,04/10/19 12:15:00 AM,10.505,12.180,11.523,9.583,,,
51,04/10/19 12:30:00 AM,10.511,12.187,11.514,9.398,,,
52,04/10/19 12:45:00 AM,10.518,12.195,11.504,9.239,,,
