"Titre de tracé : 10848912"
"#","Date Heure, GMT+02:00","Temp., °C (LGR S/N: 10848912, SEN S/N: 10848912, LBL: Temperature 1)","Temp., °C (LGR S/N: 10848912, SEN S/N: 10848912, LBL: Temperature 2)","Temp., °C (LGR S/N: 10848912, SEN S/N: 10848912, LBL: Temperature 3)","Temp., °C (LGR S/N: 10848912, SEN S/N: 10848912, LBL: Temperature 4)","Hôte connecté (LGR S/N: 10848912)","Arrêté (LGR S/N: 10848912)","Fin de fichier (LGR S/N: 10848912)"
1,04/09/19 12:00:00 PM,18.558,17.745,17.220,16.548,,,
2,04/09/19 12:15:00 PM,19.731,19.193,18.131,17.177,,,
3,04/09/19 12:30:00 PM,20.266,19.359,17.818,17.421,,,
4,04/09/19 12:45:00 PM,18.996,18.194,17.361,16.838,,,
5,04/09/19 01:00:00 PM,18.282,17.257,16.933,16.131,,,
6,04/09/19 01:15:00 PM,23.687,20.689,18.389,17.326,,,
7,04/09/19 01:30:00 PM,34.610,29.341,33.580,28.925,,,
8,04/09/19 01:45:00 PM,33.963,31.719,34.333,32.692,,,
9,04/09/19 02:00:00 PM,20.500,21.737,21.822,20.938,,,
10,04/09/19 02:15:00 PM,18.491,19.023,19.613,18.466,,,
11,04/09/19 02:30:00 PM,15.924,13.897,16.574,20.674,,,
12,04/09/19 02:45:00 PM,9.296,9.624,10.230,13.079,,,
13,04/09/19 03:00:00 PM,9.149,9.441,9.941,12.579,,,
14,04/09/19 03:15:00 PM,9.103,9.376,9.849,12.932,,,
15,04/09/19 03:30:00 PM,9.080,9.344,9.808,12.787,,,
16,04/09/19 03:45:00 PM,9.066,9.324,9.788,13.055,,,
17,04/09/19 04:00:00 PM,9.058,9.311,9.780,13.336,,,
18,04/09/19 04:15:00 PM,9.052,9.302,9.778,13.460,,,
19,04/09/19 04:30:00 PM,9.047,9.296,9.780,13.506,,,
20,04/09/19 04:45:00 PM,9.046,9.291,9.786,13.345,,,
21,04/09/19 05:00:00 PM,9.044,9.288,9.794,13.487,,,
22,04/09/19 05:15:00 PM,9.043,9.287,9.805,13.357,,,
23,04/09/19 05:30:00 PM,9.043,9.285,9.817,13.347,,,
24,04/09/19 05:45:00 PM,9.043,9.285,9.831,13.097,,,
25,04/09/19 06:00:00 PM,9.043,9.285,9.846,12.995,,,
26,04/09/19 06:15:00 PM,9.043,9.287,9.861,13.076,,,
27,04/09/19 06:30:00 PM,9.043,9.287,9.880,13.162,,,
28,04/09/19 06:45:00 PM,9.044,9.288,9.897,13.094,,,
29,04/09/19 07:00:00 PM,9.044,9.290,9.915,13.028,,,
30,04/09/19 07:15:00 PM,9.046,9.293,9.934,12.909,,,
31,04/09/19 07:30:00 PM,9.047,9.295,9.952,12.776,,,
32,04/09/19 07:45:00 PM,9.047,9.298,9.970,12.624,,,
33,04/09/19 08:00:00 PM,9.049,9.301,9.987,12.408,,,
34,04/09/19 08:15:00 PM,9.050,9.304,10.006,12.192,,,
35,04/09/19 08:30:00 PM,9.052,9.307,10.023,11.925,,,
36,04/09/19 08:45:00 PM,9.053,9.310,10.040,11.687,,,
37,04/09/19 09:00:00 PM,9.055,9.315,10.056,11.531,,,
38,04/09/19 09:15:00 PM,9.056,9.319,10.072,11.342,,,
39,04/09/19 09:30:00 PM,9.058,9.322,10.086,11.110,,,
40,04/09/19 09:45:00 PM,9.060,9.328,10.099,10.899,,,
41,04/09/19 10:00:00 PM,9.063,9.333,10.112,10.712,,,
42,04/09/19 10:15:00 PM,9.064,9.338,10.124,10.553,,,
43,04/09/19 10:30:00 PM,9.066,9.342,10.133,10.365,,,
44,04/09/19 10:45:00 PM,9.067,9.349,10.142,10.237,,,
45,04/09/19 11:00:00 PM,9.070,9.353,10.148,10.101,,,
46,04/09/19 11:15:00 PM,9.072,9.359,10.155,9.984,,,
47,04/09/19 11:30:00 PM,9.075,9.366,10.159,9.837,,,
48,04/09/19 11:45:00 PM,9.077,9.372,10.162,9.675,,,
49,04/10/19 12:00:00 AM,9.080,9.378,10.164,9.521,,,
50,04/10/19 12:15:00 AM,9.081,9.382,10.164,9.373,,,
51,04/10/19 12:30:00 AM,9.084,9.389,10.162,9.203,,,
52,04/10/19 12:45:00 AM,9.087,9.395,10.159,9.070,,,
53,04/10/19 01:00:00 AM,9.089,9.401,10.155,8.942,,,
54,04/10/19 01:15:00 AM,9.092,9.407,10.150,8.807,,,
