,Variogram Index,Lag Distance,Variogram Value,Number of Pairs,Calculation Azimuth
15,2.0,70.7106781186546,0.1279265373321702,162.0,135.0
23,2.0,111.80339887498918,0.3075496562081948,288.0,135.0
29,2.0,141.42135623730954,0.5180384780377829,128.0,135.0
37,2.0,180.27756377319972,0.8114021498604083,224.0,135.0
43,2.0,212.13203435596398,1.1570792827098955,98.0,135.0
45,2.0,223.60679774997905,1.1396546918035242,192.0,135.0
50,2.0,250.0,1.5494416006699385,168.0,135.0
57,2.0,282.84271247461936,2.0036458216816118,72.0,135.0
59,2.0,291.54759474226506,1.9152874043322718,140.0,135.0
65,2.0,320.15621187164226,2.4318761179790935,120.0,135.0
68,2.0,335.4101966249685,2.186309655789363,112.0,135.0
71,2.0,353.55339059327366,2.9274327466329577,50.0,135.0
73,2.0,360.55512754639886,2.7594835375462385,96.0,135.0
77,2.0,380.78865529319575,2.3151656074955302,84.0,135.0
79,2.0,390.5124837953333,3.311830857104001,80.0,135.0
81,2.0,403.112887414928,2.9254655622332844,72.0,135.0
85,2.0,424.2640687119287,3.7233455268369364,32.0,135.0
87,2.0,430.116263352131,3.5116998571573443,60.0,135.0
90,2.0,447.21359549995765,3.1015208700310946,48.0,135.0
93,2.0,460.9772228646445,3.9000582990582666,48.0,135.0
95,2.0,471.6990566028302,3.7443502907027217,40.0,135.0
99,2.0,493.52797155013883,3.5567184762243316,42.0,135.0
100,2.0,496.3266865554843,3.813826695403354,74.0,135.0
112,1.0,50.0,0.03315381105851234,180.0,112.5
122,1.0,100.0,0.1330441415871858,160.0,112.5
125,1.0,111.80339887498985,0.245100707345593,144.0,112.5
132,1.0,145.90273730737158,0.40859899093149205,268.0,112.5
133,1.0,150.0,0.3085400312914552,140.0,112.5
134,1.0,153.84341826714575,0.3706013822965691,266.0,112.5
135,1.0,158.11388300841892,0.4395584389689178,126.0,112.5
139,1.0,180.2775637731997,0.7471426634794378,112.0,112.5
142,1.0,200.0,0.5586856712137127,120.0,112.5
144,1.0,202.91565955410226,0.6317078988425702,228.0,112.5
145,1.0,208.99859099621256,0.9241790781360687,206.0,112.5
147,1.0,223.60679774997925,1.0639890218957506,96.0,112.5
153,1.0,251.62623288747272,1.1333939948684886,274.0,112.5
156,1.0,269.25824035672497,1.4522821444163576,80.0,112.5
161,1.0,291.54759474226495,1.9829042233107586,70.0,112.5
162,1.0,296.055544213057,1.5814380223686133,150.0,112.5
163,1.0,301.96016519127335,1.3296747337158383,152.0,112.5
166,1.0,316.2277660168379,1.8867264510150203,64.0,112.5
167,1.0,318.12862691432395,2.1910861241151807,124.0,112.5
168,1.0,320.15621187164277,2.5157364420886856,60.0,112.5
170,1.0,335.41019662496876,2.4736716289757616,56.0,112.5
172,1.0,350.0,1.5950698164659631,60.0,112.5
173,1.0,352.2533696445158,2.0799826173995357,164.0,112.5
175,1.0,362.28031100521224,2.708519464700734,96.0,112.5
179,1.0,380.7886552931956,2.9703555590559256,42.0,112.5
181,1.0,390.5124837953331,3.591444139301758,40.0,112.5
182,1.0,395.25624189766665,2.7679352812310976,80.0,112.5
183,1.0,402.0011419095968,2.592206771679449,112.0,112.5
185,1.0,412.31056256176623,2.7531872910103403,32.0,112.5
188,1.0,425.63425737043764,3.6062460402422385,60.0,112.5
189,1.0,428.7085024829047,3.893002916542548,58.0,112.5
190,1.0,430.1162633521313,4.2855487867905175,30.0,112.5
192,1.0,448.48014299997686,3.3610604781338993,44.0,112.5
193,1.0,449.7253696181075,3.1199026017376843,62.0,112.5
194,1.0,451.3117532716758,2.371569699562521,38.0,112.5
195,1.0,460.97722286464466,3.905082842455216,40.0,112.5
197,1.0,472.78718289441764,4.5712228579935275,34.0,112.5
201,1.0,493.9620041342721,4.335713903575263,30.0,112.5
202,1.0,496.0621766093078,4.632368155159228,46.0,112.5
